,Longitude,Latitude,Trap,NumMosquitos,WnvPresent
1259,-87.832763,41.944869,T011,25,1
1260,-87.832763,41.944869,T011,39,1
1261,-87.747113,41.991429,T012,16,1
1269,-87.824812,41.974089,T015,11,1
1272,-87.81150600000002,42.011601,T016,118,1
1273,-87.81150600000002,42.011601,T016,98,1
1290,-87.701431,41.906638,T033,14,1
1299,-87.677737,41.836644,T035,1,1
1300,-87.742302,41.763733,T035,1,1
1313,-87.666455,41.9216,T045,108,1
1318,-87.654224,41.867108,T048,3,1
1320,-87.654224,41.867108,T048,1,1
1323,-87.655232,41.896282,T049,1,1
1331,-87.679447,41.801179,T061,35,1
1340,-87.703047,41.77166,T066,20,1
1353,-87.66634300000004,41.822536,T074,39,1
1368,-87.642984,41.803422999999995,T082,79,1
1378,-87.676709,41.688324,T086,6,1
1414,-87.736812,41.798697,T114,23,1
1427,-87.776792,41.953067,T142,9,1
1429,-87.795585,41.999128999999996,T143,31,1
1430,-87.795585,41.999128999999996,T143,67,1
1434,-87.629798,41.878114000000004,T145,25,1
1450,-87.752329,41.918704999999996,T154,14,1
1453,-87.778927,41.776156,T155,26,1
1454,-87.778927,41.776156,T155,20,1
1460,-87.707973,41.682587,T158,69,1
1477,-87.599862,41.673408,T115,2532,1
1478,-87.599862,41.673408,T115,104,1
1479,-87.56566600000002,41.704572,T128,821,1
1481,-87.585413,41.72646500000001,T138,1000,1
1483,-87.585413,41.72646500000001,T138,651,1
1490,-87.546587,41.740641,T209,37,1
1497,-87.531635,41.686398,T215,60,1
1500,-87.53869300000002,41.659112,T221,279,1
1501,-87.53869300000002,41.659112,T221,177,1
1505,-87.800991,41.95469,T002,23,1
1507,-87.757639,41.964242,T003,23,1
1512,-87.797127,41.990284,T006,9,1
1513,-87.797127,41.990284,T006,1,1
1515,-87.77792099999998,42.008314,T008,6,1
1520,-87.832763,41.944869,T011,11,1
1525,-87.787992,41.970248,T014,23,1
1526,-87.787992,41.970248,T014,22,1
1528,-87.824812,41.974089,T015,5,1
1530,-87.81150600000002,42.011601,T016,4,1
1547,-87.701431,41.906638,T033,8,1
1557,-87.729384,41.837084999999995,T036,5,1
1563,-87.726737,41.911823999999996,T039,28,1
1568,-87.666455,41.9216,T045,17,1
1569,-87.666455,41.9216,T045,28,1
1586,-87.679447,41.801179,T061,18,1
1587,-87.679447,41.801179,T061,13,1
1595,-87.752411,41.778296999999995,T065,67,1
1605,-87.797894,41.797616,T070,10,1
1606,-87.797894,41.797616,T070,13,1
1626,-87.62779599999998,41.821582,T081,16,1
1628,-87.642984,41.803422999999995,T082,8,1
1631,-87.598865,41.692555,T084,7,1
1635,-87.676709,41.688324,T086,62,1
1636,-87.676709,41.688324,T086,57,1
1639,-87.64997,41.723195000000004,T089,5,1
1641,-87.666901,41.868077,T090,7,1
1646,-87.736812,41.798697,T114,8,1
1647,-87.736812,41.798697,T114,1,1
1649,-87.795585,41.999128999999996,T143,1,1
1667,-87.800515,41.916265,T151,18,1
1691,-87.666014,41.720848,T094,28,1
1696,-87.677512,41.731922,T096,85,1
1697,-87.677512,41.731922,T096,43,1
1699,-87.60449799999998,41.644612,T097,10,1
1711,-87.582699,41.729669,T107,3,1
1712,-87.599862,41.673408,T115,1554,1
1714,-87.56566600000002,41.704572,T128,217,1
1715,-87.56566600000002,41.704572,T128,121,1
1716,-87.72460799999998,41.662014,T135,231,1
1717,-87.72460799999998,41.662014,T135,68,1
1718,-87.585413,41.72646500000001,T138,1054,1
1719,-87.585413,41.72646500000001,T138,69,1
1723,-87.649642,41.732984,T159,40,1
1724,-87.649642,41.732984,T159,24,1
1727,-87.68826700000002,41.903002,T160,9,1
1732,-87.559308,41.678618,T200,52,1
1736,-87.546587,41.740641,T209,25,1
1744,-87.531635,41.686398,T215,22,1
1746,-87.53869300000002,41.659112,T221,25,1
1750,-87.800991,41.95469,T002,27,1
1751,-87.757639,41.964242,T003,19,1
1754,-87.776385,41.942114000000004,T005,12,1
1755,-87.776385,41.942114000000004,T005,5,1
1761,-87.812827,41.98196400000001,T009,28,1
1762,-87.862995,41.99247800000001,T009,28,1
1767,-87.832763,41.944869,T011,9,1
1769,-87.747113,41.991429,T012,5,1
1773,-87.787992,41.970248,T014,18,1
1778,-87.81150600000002,42.011601,T016,9,1
1839,-87.60088,41.773215,T073,10,1
1853,-87.612922,41.754676,T080,20,1
1856,-87.642984,41.803422999999995,T082,17,1
1857,-87.642984,41.803422999999995,T082,16,1
1858,-87.590773,41.754292,T083,14,1
1864,-87.676709,41.688324,T086,38,1
1865,-87.676709,41.688324,T086,69,1
1876,-87.70373599999998,41.704336,T095,6,1
1890,-87.72460799999998,41.662014,T135,106,1
1891,-87.72460799999998,41.662014,T135,53,1
1896,-87.794896,41.94016,T144,15,1
1908,-87.716277,41.846075,T152,5,1
1912,-87.752329,41.918704999999996,T154,12,1
1913,-87.778927,41.776156,T155,5,1
1921,-87.68826700000002,41.903002,T160,3,1
1933,-87.536497,41.702723999999996,T103,421,1
1937,-87.582699,41.729669,T107,4,1
1938,-87.599862,41.673408,T115,2207,1
1939,-87.599862,41.673408,T115,269,1
1940,-87.56566600000002,41.704572,T128,290,1
1942,-87.585413,41.72646500000001,T138,561,1
1952,-87.535198,41.680946,T212,211,1
1960,-87.800991,41.95469,T002,13,1
1961,-87.800991,41.95469,T002,10,1
1989,-87.689778,41.986921,T028,5,1
1990,-87.689778,41.986921,T028,1,1
2000,-87.79518,41.921177,T037,3,1
2013,-87.679447,41.801179,T061,13,1
2020,-87.726549,41.82561,T063,2,1
2050,-87.69181,41.963976,T220,1,1
2055,-87.66634300000004,41.822536,T074,3,1
2067,-87.648064,41.721474,T085,4,1
2069,-87.676709,41.688324,T086,13,1
2077,-87.64886,41.862292,T091,7,1
2080,-87.677512,41.731922,T096,13,1
2087,-87.536497,41.702723999999996,T103,23,1
2094,-87.599862,41.673408,T115,1648,1
2095,-87.72460799999998,41.662014,T135,38,1
2116,-87.585413,41.72646500000001,T138,387,1
2126,-87.535198,41.680946,T212,21,1
2133,-87.800991,41.95469,T002,6,1
2145,-87.832763,41.944869,T011,10,1
2187,-87.745602,41.759346,T067,16,1
2193,-87.60088,41.773215,T073,1,1
2222,-87.736812,41.798697,T114,9,1
2416,-87.599862,41.673408,T115,968,1
2564,-87.599862,41.673408,T115,527,1
2698,-87.71188000000002,41.800737,T062,12,1
2793,-87.740029,41.772846,T156,8,1
3738,-87.800991,41.95469,T002,215,1
3761,-87.763416,41.801497999999995,T031,38,1
3829,-87.70373599999998,41.704336,T095,12,1
3830,-87.70373599999998,41.704336,T095,8,1
3975,-87.731435,41.743402,T225,160,1
4146,-87.666901,41.868077,T090,29,1
4178,-87.68826700000002,41.903002,T160,1,1
4204,-87.812827,41.98196400000001,T009,42,1
4205,-87.862995,41.99247800000001,T009,42,1
4209,-87.832763,41.944869,T011,76,1
4234,-87.605294,41.750498,T102,1,1
4252,-87.53869300000002,41.659112,T221,4,1
4265,-87.890615,41.974689,T900,181,1
4268,-87.930995,41.957799,T903,68,1
4269,-87.930995,41.957799,T903,14,1
4368,-87.890615,41.974689,T900,9,1
4439,-87.707973,41.682587,T158,9,1
4464,-87.72505699999998,41.951865999999995,T228,2,1
4466,-87.756155,41.904194,T230,8,1
4606,-87.785288,41.923738,T013,1,1
5490,-87.731435,41.743402,T225,16,1
5507,-87.890615,41.974689,T900,292,1
5508,-87.890615,41.974689,T900,212,1
5533,-87.763416,41.801497999999995,T031,108,1
5568,-87.666901,41.868077,T090,8,1
5605,-87.805059,41.973845000000004,T223,90,1
5623,-87.890615,41.974689,T900,87,1
5624,-87.890615,41.974689,T900,37,1
5626,-87.930995,41.957799,T903,33,1
5627,-87.930995,41.957799,T903,10,1
5631,-87.77792099999998,42.008314,T008,23,1
5753,-87.890615,41.974689,T900,59,1
5756,-87.930995,41.957799,T903,39,1
5757,-87.930995,41.957799,T903,10,1
5798,-87.62779599999998,41.821582,T081,1,1
5808,-87.70373599999998,41.704336,T095,4,1
5816,-87.599862,41.673408,T115,55,1
5846,-87.805059,41.973845000000004,T223,3,1
5864,-87.890615,41.974689,T900,38,1
5865,-87.890615,41.974689,T900,182,1
5869,-87.930995,41.957799,T903,58,1
5881,-87.689778,41.986921,T028,4,1
5912,-87.60088,41.773215,T073,16,1
5975,-87.890615,41.974689,T900,141,1
6032,-87.736812,41.798697,T114,46,1
6063,-87.805059,41.973845000000004,T223,5,1
6064,-87.731435,41.743402,T225,3,1
6080,-87.890615,41.974689,T900,16,1
6086,-87.757639,41.964242,T003,36,1
6096,-87.728492,41.98480900000001,T027,5,1
6125,-87.800515,41.916265,T151,37,1
6134,-87.805059,41.973845000000004,T223,11,1
6161,-87.707973,41.682587,T158,13,1
6173,-87.890615,41.974689,T900,128,1
6175,-87.930995,41.957799,T903,13,1
6182,-87.757639,41.964242,T003,22,1
6205,-87.726737,41.911823999999996,T039,3,1
6277,-87.730698,41.948167,T218,6,1
6285,-87.756155,41.904194,T230,24,1
6301,-87.890615,41.974689,T900,51,1
6302,-87.890615,41.974689,T900,13,1
6360,-87.590773,41.754292,T083,9,1
6366,-87.736812,41.798697,T114,36,1
6414,-87.930995,41.957799,T903,47,1
6417,-87.800991,41.95469,T002,13,1
6419,-87.757639,41.964242,T003,43,1
6426,-87.785288,41.923738,T013,54,1
6478,-87.800515,41.916265,T151,61,1
6491,-87.730698,41.948167,T218,18,1
6496,-87.805059,41.973845000000004,T223,24,1
6935,-87.666014,41.720848,T094,38,1
7071,-87.77792099999998,42.008314,T008,33,1
7072,-87.77792099999998,42.008314,T008,45,1
7123,-87.60088,41.773215,T073,9,1
7166,-87.707973,41.682587,T158,75,1
7167,-87.649642,41.732984,T159,27,1
7187,-87.72505699999998,41.951865999999995,T228,75,1
7191,-87.666066,41.98728,T231,63,1
7202,-87.757639,41.964242,T003,7,1
7203,-87.77792099999998,42.008314,T008,106,1
7212,-87.785288,41.923738,T013,23,1
7221,-87.716788,41.899229999999996,T030,305,1
7223,-87.763416,41.801497999999995,T031,16,1
7235,-87.654224,41.867108,T048,37,1
7279,-87.56566600000002,41.704572,T128,13,1
7310,-87.731435,41.743402,T225,169,1
7313,-87.654234,41.793818,T226,54,1
7316,-87.72505699999998,41.951865999999995,T228,54,1
7317,-87.72505699999998,41.951865999999995,T228,69,1
7319,-87.756155,41.904194,T230,34,1
7332,-87.890615,41.974689,T900,280,1
7333,-87.890615,41.974689,T900,212,1
7377,-87.632085,41.921965,T054,4,1
7392,-87.562889,41.766202,T079,18,1
7470,-87.757639,41.964242,T003,35,1
7484,-87.785288,41.923738,T013,42,1
7493,-87.716788,41.899229999999996,T030,46,1
7541,-87.666014,41.720848,T094,4,1
7561,-87.700117,41.932094,T147,27,1
7562,-87.700117,41.932094,T147,24,1
7563,-87.700117,41.932094,T147,10,1
7585,-87.53869300000002,41.659112,T221,5,1
7591,-87.67145699999998,41.94722700000001,T224,12,1
7595,-87.731435,41.743402,T225,20,1
7596,-87.731435,41.743402,T225,7,1
7601,-87.60096300000002,41.728495,T227,21,1
7609,-87.666066,41.98728,T231,17,1
7623,-87.890615,41.974689,T900,984,1
7625,-87.800991,41.95469,T002,56,1
7626,-87.800991,41.95469,T002,127,1
7628,-87.757639,41.964242,T003,28,1
7632,-87.812827,41.98196400000001,T009,38,1
7633,-87.862995,41.99247800000001,T009,38,1
7636,-87.832763,41.944869,T011,17,1
7639,-87.785288,41.923738,T013,45,1
7640,-87.785288,41.923738,T013,79,1
7644,-87.728492,41.98480900000001,T027,16,1
7649,-87.716788,41.899229999999996,T030,50,1
7673,-87.679447,41.801179,T061,48,1
7679,-87.752411,41.778296999999995,T065,1,1
7680,-87.752411,41.778296999999995,T065,11,1
7682,-87.703047,41.77166,T066,127,1
7696,-87.612922,41.754676,T080,24,1
7698,-87.642984,41.803422999999995,T082,2,1
7704,-87.64997,41.723195000000004,T089,4,1
7721,-87.599862,41.673408,T115,76,1
7734,-87.800515,41.916265,T151,37,1
7737,-87.778927,41.776156,T155,20,1
7740,-87.707973,41.682587,T158,126,1
7757,-87.805059,41.973845000000004,T223,41,1
7761,-87.731435,41.743402,T225,27,1
7762,-87.654234,41.793818,T226,5,1
7763,-87.654234,41.793818,T226,30,1
7767,-87.60096300000002,41.728495,T227,5,1
7770,-87.756155,41.904194,T230,8,1
7771,-87.756155,41.904194,T230,21,1
7772,-87.756155,41.904194,T230,2,1
7777,-87.807277,42.009876,T233,95,1
7783,-87.890615,41.974689,T900,49,1
7808,-87.785288,41.923738,T013,40,1
7815,-87.689778,41.986921,T028,47,1
7817,-87.689778,41.986921,T028,24,1
7819,-87.716788,41.899229999999996,T030,54,1
7833,-87.696269,41.868142,T047,29,1
7834,-87.696269,41.868142,T047,22,1
7840,-87.63359,41.925652,T054C,45,1
7842,-87.679447,41.801179,T061,33,1
7850,-87.703047,41.77166,T066,31,1
7868,-87.666014,41.720848,T094,8,1
7885,-87.800515,41.916265,T151,9,1
7901,-87.805059,41.973845000000004,T223,13,1
7907,-87.654234,41.793818,T226,12,1
7909,-87.60096300000002,41.728495,T227,40,1
7914,-87.756155,41.904194,T230,15,1
7922,-87.627096,41.776428,T235,34,1
7923,-87.627096,41.776428,T235,7,1
7928,-87.890615,41.974689,T900,83,1
7930,-87.800991,41.95469,T002,12,1
7931,-87.800991,41.95469,T002,34,1
7932,-87.757639,41.964242,T003,23,1
7943,-87.747113,41.991429,T012,5,1
7949,-87.728492,41.98480900000001,T027,31,1
7950,-87.728492,41.98480900000001,T027,6,1
7951,-87.689778,41.986921,T028,7,1
7952,-87.689778,41.986921,T028,7,1
7953,-87.716788,41.899229999999996,T030,47,1
7959,-87.701431,41.906638,T033,16,1
7972,-87.696269,41.868142,T047,13,1
7974,-87.654224,41.867108,T048,58,1
7984,-87.679447,41.801179,T061,1,1
7987,-87.726549,41.82561,T063,6,1
7990,-87.703047,41.77166,T066,14,1
7992,-87.703047,41.77166,T066,4,1
8003,-87.642984,41.803422999999995,T082,15,1
8039,-87.716277,41.846075,T152,3,1
8051,-87.69181,41.963976,T220,4,1
8059,-87.731435,41.743402,T225,21,1
8063,-87.60096300000002,41.728495,T227,22,1
8065,-87.72505699999998,41.951865999999995,T228,15,1
8069,-87.666066,41.98728,T231,63,1
8071,-87.66805500000002,41.912563,T232,3,1
8072,-87.807277,42.009876,T233,66,1
8074,-87.627096,41.776428,T235,18,1
8075,-87.627096,41.776428,T235,15,1
8078,-87.890615,41.974689,T900,142,1
8079,-87.890615,41.974689,T900,86,1
8083,-87.800991,41.95469,T002,35,1
8086,-87.757639,41.964242,T003,30,1
8088,-87.77792099999998,42.008314,T008,41,1
8089,-87.812827,41.98196400000001,T009,65,1
8090,-87.862995,41.99247800000001,T009,65,1
8091,-87.812827,41.98196400000001,T009,131,1
8092,-87.862995,41.99247800000001,T009,131,1
8103,-87.689778,41.986921,T028,17,1
8107,-87.763416,41.801497999999995,T031,9,1
8108,-87.763416,41.801497999999995,T031,15,1
8109,-87.701431,41.906638,T033,15,1
8114,-87.726737,41.911823999999996,T039,19,1
8141,-87.64997,41.723195000000004,T089,5,1
8144,-87.666901,41.868077,T090,12,1
8146,-87.70373599999998,41.704336,T095,28,1
8149,-87.736812,41.798697,T114,13,1
8153,-87.56566600000002,41.704572,T128,39,1
8163,-87.778927,41.776156,T155,3,1
8168,-87.649642,41.732984,T159,60,1
8173,-87.53869300000002,41.659112,T221,32,1
8174,-87.746381,41.925197999999995,T222,9,1
8179,-87.731435,41.743402,T225,52,1
8184,-87.666066,41.98728,T231,39,1
8187,-87.807277,42.009876,T233,50,1
8188,-87.807277,42.009876,T233,150,1
8189,-87.627096,41.776428,T235,12,1
8193,-87.890615,41.974689,T900,281,1
8194,-87.890615,41.974689,T900,314,1
8200,-87.757639,41.964242,T003,35,1
8203,-87.812827,41.98196400000001,T009,30,1
8204,-87.862995,41.99247800000001,T009,30,1
8211,-87.785288,41.923738,T013,36,1
8215,-87.728492,41.98480900000001,T027,19,1
8217,-87.716788,41.899229999999996,T030,45,1
8221,-87.701431,41.906638,T033,82,1
8223,-87.677737,41.836644,T035,31,1
8224,-87.742302,41.763733,T035,31,1
8236,-87.632085,41.921965,T054,70,1
8237,-87.632085,41.921965,T054,54,1
8241,-87.679447,41.801179,T061,13,1
8250,-87.678649,41.768388,T069,17,1
8253,-87.586427,41.778748,T077,1,1
8269,-87.736812,41.798697,T114,64,1
8280,-87.800515,41.916265,T151,13,1
8291,-87.69181,41.963976,T220,82,1
8294,-87.805059,41.973845000000004,T223,33,1
8297,-87.731435,41.743402,T225,13,1
8305,-87.72505699999998,41.951865999999995,T228,16,1
8312,-87.807277,42.009876,T233,18,1
8313,-87.807277,42.009876,T233,15,1
8314,-87.627096,41.776428,T235,37,1
8315,-87.770899,41.994679,T236,10,1
8318,-87.890615,41.974689,T900,195,1
8319,-87.890615,41.974689,T900,308,1
8320,-87.890615,41.974689,T900,40,1
8322,-87.800991,41.95469,T002,32,1
8330,-87.832763,41.944869,T011,9,1
8334,-87.785288,41.923738,T013,21,1
8339,-87.728492,41.98480900000001,T027,9,1
8340,-87.728492,41.98480900000001,T027,15,1
8341,-87.689778,41.986921,T028,45,1
8354,-87.726737,41.911823999999996,T039,14,1
8367,-87.632085,41.921965,T054,47,1
8376,-87.703047,41.77166,T066,71,1
8390,-87.666901,41.868077,T090,21,1
8395,-87.605294,41.750498,T102,5,1
8396,-87.736812,41.798697,T114,23,1
8398,-87.599862,41.673408,T115,186,1
8401,-87.72460799999998,41.662014,T135,18,1
8404,-87.700117,41.932094,T147,13,1
8418,-87.805059,41.973845000000004,T223,5,1
8421,-87.731435,41.743402,T225,47,1
8434,-87.66805500000002,41.912563,T232,2,1
8440,-87.627096,41.776428,T235,18,1
8442,-87.890615,41.974689,T900,238,1
8454,-87.832763,41.944869,T011,10,1
8455,-87.747113,41.991429,T012,11,1
8456,-87.785288,41.923738,T013,26,1
8464,-87.716788,41.899229999999996,T030,21,1
8482,-87.632085,41.921965,T054,31,1
8500,-87.64997,41.723195000000004,T089,6,1
8501,-87.666901,41.868077,T090,6,1
8531,-87.53869300000002,41.659112,T221,11,1
8553,-87.890615,41.974689,T900,47,1
8556,-87.757639,41.964242,T003,3,1
8571,-87.677737,41.836644,T035,6,1
8572,-87.742302,41.763733,T035,6,1
8613,-87.778927,41.776156,T155,4,1
8642,-87.890615,41.974689,T900,43,1
