,Trap,Species,NumMosquitos,WnvPresent,Day_length,Tmax,Tmin,Tavg,ResultSpeed,ResultDir,AvgSpeed,Sunset,Sunrise,Heat,Depart,DewPoint,WetBulb,Cool,CodeSum,PrecipTotal,StnPressure,Latitude,Longitude,Month
13,T054,CULEX PIPIENS/RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.921965,-87.632085,5
14,T054,CULEX RESTUANS,3,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.921965,-87.632085,5
15,T002,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.95469,-87.800991,5
16,T007,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.994991,-87.769279,5
17,T015,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.974089,-87.824812,5
18,T045,CULEX RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.9216,-87.666455,5
19,T015,CULEX RESTUANS,4,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.974089,-87.824812,5
20,T046,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.891118,-87.65449100000002,5
21,T048,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.867108,-87.654224,5
22,T048,CULEX RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.867108,-87.654224,5
23,T049,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.896282,-87.655232,5
24,T050,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.919343,-87.694259,5
25,T142,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.953067,-87.776792,6
26,T145,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.878114,-87.629798,6
27,T143,CULEX RESTUANS,9,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.999129,-87.795585,6
28,T143,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.999129,-87.795585,6
29,T146,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.958271,-87.702575,6
30,T142,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.953067,-87.776792,6
31,T096,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.731922,-87.677512,6
32,T141,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.961743,-87.76007,6
33,T135,CULEX RESTUANS,4,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.662014,-87.72460799999998,6
34,T135,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.662014,-87.72460799999998,6
35,T096,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.731922,-87.677512,6
36,T146,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.958271,-87.702575,6
37,T141,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.961743,-87.76007,6
38,T147,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.932094,-87.700117,6
39,T218,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.948167,-87.730698,6
40,T150,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,42.006858,-87.675919,6
41,T151,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.916265,-87.800515,6
42,T151,CULEX RESTUANS,10,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.916265,-87.800515,6
43,T152,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.846075,-87.716277,6
44,T153,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.907645,-87.760886,6
45,T154,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.918705,-87.752329,6
46,T158,CULEX PIPIENS/RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.682587,-87.707973,6
47,T158,CULEX RESTUANS,8,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.682587,-87.707973,6
48,T159,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.732984,-87.649642,6
49,T162,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.725517,-87.61425799999998,6
50,T096,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.731922,-87.677512,6
51,T218,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.948167,-87.730698,6
52,T220,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.963976,-87.69181,6
53,T149,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.994469,-87.667736,6
54,T094,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.720848,-87.666014,6
55,T135,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.662014,-87.72460799999998,6
56,T090,CULEX RESTUANS,7,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.868077,-87.666901,6
57,T092,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.869216,-87.627561,6
58,T002,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.95469,-87.800991,6
59,T002,CULEX PIPIENS/RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.95469,-87.800991,6
60,T002,CULEX RESTUANS,5,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.95469,-87.800991,6
61,T009,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.98196400000001,-87.812827,6
62,T009,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.99247800000001,-87.862995,6
63,T011,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.944869,-87.832763,6
64,T015,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.974089,-87.824812,6
65,T016,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,42.011601,-87.81150600000002,6
66,T019,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.94983,-87.69845699999998,6
67,T025,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.979243,-87.750938,6
68,T028,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.986921,-87.689778,6
69,T031,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.801498,-87.763416,6
70,T033,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.906638,-87.701431,6
71,T015,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.974089,-87.824812,6
72,T045,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.9216,-87.666455,6
73,T090,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.868077,-87.666901,6
74,T045,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.9216,-87.666455,6
75,T089,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.723195,-87.64997,6
76,T086,CULEX RESTUANS,4,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.688324,-87.676709,6
77,T050,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.919343,-87.694259,6
78,T050,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.919343,-87.694259,6
79,T054,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.921965,-87.632085,6
80,T048,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.867108,-87.654224,6
81,T048,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.867108,-87.654224,6
82,T048,CULEX PIPIENS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.867108,-87.654224,6
83,T046,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.891118,-87.65449100000002,6
84,T045,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.9216,-87.666455,6
85,T049,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.896282,-87.655232,6
86,T141,CULEX PIPIENS/RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.961743,-87.76007,6
87,T129,CULEX PIPIENS/RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.891126,-87.61156,6
88,T135,CULEX RESTUANS,25,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.662014,-87.72460799999998,6
89,T135,CULEX PIPIENS/RESTUANS,20,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.662014,-87.72460799999998,6
90,T135,CULEX PIPIENS,6,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.662014,-87.72460799999998,6
91,T129,CULEX RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.891126,-87.61156,6
92,T096,CULEX RESTUANS,5,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.731922,-87.677512,6
93,T086,CULEX PIPIENS/RESTUANS,2,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.688324,-87.676709,6
94,T090,CULEX PIPIENS/RESTUANS,10,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.868077,-87.666901,6
95,T090,CULEX PIPIENS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.868077,-87.666901,6
96,T088,CULEX PIPIENS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.869107,-87.69629300000003,6
97,T086,CULEX RESTUANS,2,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.688324,-87.676709,6
98,T085,CULEX RESTUANS,2,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.721474,-87.648064,6
99,T141,CULEX RESTUANS,3,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.961743,-87.76007,6
100,T090,CULEX RESTUANS,19,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.868077,-87.666901,6
101,T142,CULEX RESTUANS,4,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.953067,-87.776792,6
102,T219,CULEX RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.966987,-87.674677,6
103,T143,CULEX RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.999129,-87.795585,6
104,T051,CULEX PIPIENS/RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.846283,-87.656913,6
105,T220,CULEX RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.963976,-87.69181,6
106,T161,CULEX RESTUANS,5,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.719059,-87.675088,6
107,T161,CULEX PIPIENS/RESTUANS,3,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.719059,-87.675088,6
108,T158,CULEX RESTUANS,4,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.682587,-87.707973,6
109,T158,CULEX PIPIENS/RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.682587,-87.707973,6
110,T143,CULEX PIPIENS/RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.999129,-87.795585,6
111,T151,CULEX RESTUANS,6,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.916265,-87.800515,6
112,T150,CULEX RESTUANS,2,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,42.006858,-87.675919,6
113,T148,CULEX RESTUANS,2,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,42.01743,-87.68776899999997,6
114,T148,CULEX PIPIENS/RESTUANS,2,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,42.01743,-87.68776899999997,6
115,T147,CULEX RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.932094,-87.700117,6
116,T146,CULEX RESTUANS,6,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.958271,-87.702575,6
117,T145,CULEX RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.878114,-87.629798,6
118,T151,CULEX PIPIENS/RESTUANS,3,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.916265,-87.800515,6
119,T050,CULEX RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.919343,-87.694259,6
120,T047,CULEX RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.868142,-87.696269,6
121,T048,CULEX PIPIENS/RESTUANS,2,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.867108,-87.654224,6
122,T015,CULEX RESTUANS,1,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.974089,-87.824812,6
123,T012,CULEX PIPIENS/RESTUANS,2,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.991429,-87.747113,6
124,T011,CULEX RESTUANS,4,0,54780,91.5,71.5,81.5,6.699999999999998,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.944869,-87.832763,6
