,Trap,Species,NumMosquitos,WnvPresent,Day_length,Tmax,Tmin,Tavg,ResultSpeed,ResultDir,AvgSpeed,Sunset,Sunrise,Heat,Depart,DewPoint,WetBulb,Cool,CodeSum,PrecipTotal,StnPressure,Latitude,Longitude,Month,Day_length_shift,Tavg_shift,Heat_shift,Cool_shift,Tmax_shift,Tmin_shift,Depart_shift,ResultSpeed_shift,ResultDir_shift,WetBulb_shift
10,T050,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.919343,-87.694259,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
11,T054,CULEX PIPIENS/RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.921965,-87.632085,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
12,T054,CULEX RESTUANS,3,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.921965,-87.632085,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
13,T086,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.688324,-87.676709,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
14,T086,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.688324,-87.676709,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
15,T091,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.862292,-87.64886,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
16,T094,CULEX RESTUANS,3,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.720848,-87.666014,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
17,T096,CULEX PIPIENS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.731922,-87.677512,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
18,T096,CULEX RESTUANS,5,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.731922,-87.677512,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
19,T129,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.891126,-87.61156,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
20,T129,CULEX RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.891126,-87.61156,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
21,T143,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.999128999999996,-87.795585,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
22,T148,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,42.01743,-87.68776899999996,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
23,T153,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.907645,-87.760886,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
24,T159,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.732984,-87.649642,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
25,T002,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.95469,-87.800991,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
26,T002,CULEX PIPIENS/RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.95469,-87.800991,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
27,T002,CULEX RESTUANS,5,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.95469,-87.800991,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
28,T009,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.98196400000001,-87.812827,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
29,T009,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.99247800000001,-87.862995,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
30,T011,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.944869,-87.832763,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
31,T015,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.974089,-87.824812,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
32,T015,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.974089,-87.824812,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
33,T016,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,42.011601,-87.81150600000002,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
34,T019,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.94983,-87.69845699999998,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
35,T025,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.979243,-87.750938,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
36,T028,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.986921,-87.689778,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
37,T031,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.801497999999995,-87.763416,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
38,T033,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.906638,-87.701431,6,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
39,T045,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.9216,-87.666455,6,53760.0,69.16666666666667,2.8333333333333335,0.0,79.83333333333333,58.0,3.6666666666666665,5.8,17.0,60.833333333333336
40,T045,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.9216,-87.666455,6,53760.0,62.833333333333336,5.666666666666667,0.0,71.66666666666667,53.5,-2.6666666666666665,5.8,17.0,56.166666666666664
41,T045,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.9216,-87.666455,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.8,17.0,51.5
42,T046,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.891118,-87.65449100000002,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.8,17.0,51.5
43,T048,CULEX PIPIENS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.867108,-87.654224,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.8,17.0,51.5
44,T048,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.867108,-87.654224,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.8,17.0,51.5
45,T048,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.867108,-87.654224,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.8,17.0,51.5
46,T049,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.896282,-87.655232,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
47,T050,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.919343,-87.694259,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
48,T050,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.919343,-87.694259,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
49,T054,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.921965,-87.632085,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
50,T086,CULEX RESTUANS,4,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.688324,-87.676709,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
51,T089,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.723195000000004,-87.64997,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
52,T090,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.868077,-87.666901,6,53760.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
53,T090,CULEX RESTUANS,7,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.868077,-87.666901,6,53960.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
54,T092,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.869215999999994,-87.627561,6,54160.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
55,T094,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.720848,-87.666014,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
56,T096,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.731922,-87.677512,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
57,T096,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.731922,-87.677512,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
58,T096,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.731922,-87.677512,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
59,T135,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.662014,-87.72460799999998,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
60,T135,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.662014,-87.72460799999998,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
61,T135,CULEX RESTUANS,4,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.662014,-87.72460799999998,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
62,T141,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.961743,-87.76007,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
63,T141,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.961743,-87.76007,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
64,T142,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.953067,-87.776792,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
65,T142,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.953067,-87.776792,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
66,T143,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.999128999999996,-87.795585,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
67,T143,CULEX RESTUANS,9,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.999128999999996,-87.795585,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
68,T145,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.878114000000004,-87.629798,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
69,T146,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.958271,-87.702575,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
70,T146,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.958271,-87.702575,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
71,T147,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.932094,-87.700117,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
72,T149,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.994469,-87.667736,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
73,T150,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,42.006858,-87.675919,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
74,T151,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.916265,-87.800515,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
75,T151,CULEX RESTUANS,10,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.916265,-87.800515,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
76,T152,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.846075,-87.716277,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
77,T153,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.907645,-87.760886,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
78,T154,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.918704999999996,-87.752329,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
79,T158,CULEX PIPIENS/RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.682587,-87.707973,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
80,T158,CULEX RESTUANS,8,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.682587,-87.707973,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
81,T159,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.732984,-87.649642,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
82,T162,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.725516999999996,-87.61425799999998,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
83,T218,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.948167,-87.730698,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
84,T218,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.948167,-87.730698,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
85,T220,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.13000000000001,41.963976,-87.69181,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
86,T001,CULEX PIPIENS/RESTUANS,1,0,54780,91.5,71.5,81.5,6.6999999999999975,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.953705,-87.733974,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
87,T002,CULEX PIPIENS/RESTUANS,1,0,54780,91.5,71.5,81.5,6.6999999999999975,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.95469,-87.800991,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
88,T002,CULEX RESTUANS,4,0,54780,91.5,71.5,81.5,6.6999999999999975,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.95469,-87.800991,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
89,T002,CULEX SALINARIUS,1,0,54780,91.5,71.5,81.5,6.6999999999999975,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42,41.95469,-87.800991,6,54360.0,56.5,8.5,0.0,63.5,49.0,-9.0,5.7,4.0,51.5
