,Trap,Species,NumMosquitos,WnvPresent,Day_length,Tmax,Tmin,Tavg,ResultSpeed,ResultDir,AvgSpeed,Sunset,Heat,Depart,DewPoint,Cool,CodeSum,PrecipTotal,StnPressure,Latitude,Longitude,Month,Day_length_exp,Tavg_shift,Heat_exp,Cool_shift,Tmax_shift,Tmin_shift,Depart_shift,ResultSpeed_shift,ResultDir_exp,PrecipTotal_exp
10,T050,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.919343,-87.694259,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
11,T054,CULEX PIPIENS/RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.921965,-87.632085,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
12,T054,CULEX RESTUANS,3,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.921965,-87.632085,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
13,T086,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.688324,-87.676709,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
14,T086,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.688324,-87.676709,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
15,T091,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.862292,-87.64886,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
16,T094,CULEX RESTUANS,3,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.720848,-87.666014,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
17,T096,CULEX PIPIENS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.731922,-87.677512,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
18,T096,CULEX RESTUANS,5,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.731922,-87.677512,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
19,T129,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.891126,-87.61156,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
20,T129,CULEX RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.891126,-87.61156,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
21,T143,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.999128999999996,-87.795585,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
22,T148,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,42.01743,-87.68776899999996,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
23,T153,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.907645,-87.760886,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
24,T159,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.732984,-87.649642,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
25,T002,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.95469,-87.800991,6,53783.07692307692,75.5,0.3269230769230769,10.5,88.0,62.5,10.0,5.8,16.5,0.013269230769230768
26,T002,CULEX PIPIENS/RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.95469,-87.800991,6,53804.444444444445,75.5,0.6296296296296297,10.5,88.0,62.5,10.0,5.8,16.037037037037038,0.025555555555555554
27,T002,CULEX RESTUANS,5,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.95469,-87.800991,6,53824.28571428572,75.5,0.9107142857142857,10.5,88.0,62.5,10.0,5.8,15.607142857142858,0.03696428571428571
28,T009,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.98196400000001,-87.812827,6,53842.75862068965,75.5,1.1724137931034482,10.5,88.0,62.5,10.0,5.8,15.206896551724139,0.04758620689655172
29,T009,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.99247800000001,-87.862995,6,53860.0,75.5,1.4166666666666667,10.5,88.0,62.5,10.0,5.8,14.833333333333334,0.057499999999999996
30,T011,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.944869,-87.832763,6,53876.12903225807,75.5,1.6451612903225807,10.5,88.0,62.5,10.0,5.8,14.483870967741936,0.0667741935483871
31,T015,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.974089,-87.824812,6,53891.25,75.5,1.859375,10.5,88.0,62.5,10.0,5.8,14.15625,0.07546875
32,T015,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.974089,-87.824812,6,53905.454545454544,56.5,2.0606060606060606,0.0,63.5,62.5,-9.0,5.8,13.848484848484848,0.08363636363636363
33,T016,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,42.011601,-87.81150600000002,6,53918.82352941176,56.5,2.25,0.0,63.5,62.5,-9.0,5.8,13.558823529411764,0.09132352941176469
34,T019,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.94983,-87.69845699999998,6,53931.42857142857,56.5,2.4285714285714284,0.0,63.5,62.5,-9.0,5.8,13.285714285714286,0.09857142857142855
35,T025,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.979243,-87.750938,6,53943.333333333336,56.5,2.5972222222222223,0.0,63.5,49.0,-9.0,5.8,13.027777777777779,0.10541666666666664
36,T028,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.986921,-87.689778,6,53954.59459459459,56.5,2.7567567567567566,0.0,63.5,49.0,-9.0,5.8,12.783783783783784,0.11189189189189186
37,T031,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.801497999999995,-87.763416,6,53965.26315789474,56.5,2.9078947368421053,0.0,63.5,49.0,-9.0,5.8,12.552631578947368,0.11802631578947365
38,T033,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.906638,-87.701431,6,53975.38461538462,56.5,3.051282051282051,0.0,63.5,49.0,-9.0,5.8,12.333333333333334,0.1238461538461538
39,T045,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.9216,-87.666455,6,53985.0,56.5,3.1875,0.0,63.5,49.0,-9.0,5.8,12.125,0.12937499999999996
40,T045,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.9216,-87.666455,6,53994.14634146341,56.5,3.317073170731707,0.0,63.5,49.0,-9.0,5.8,11.926829268292684,0.13463414634146337
41,T045,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.9216,-87.666455,6,54002.857142857145,56.5,3.4404761904761907,0.0,63.5,49.0,-9.0,5.8,11.738095238095237,0.1396428571428571
42,T046,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.891118,-87.65449100000002,6,54011.16279069767,56.5,3.558139534883721,0.0,63.5,49.0,-9.0,5.8,11.55813953488372,0.14441860465116274
43,T048,CULEX PIPIENS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.867108,-87.654224,6,54019.09090909091,56.5,3.6704545454545454,0.0,63.5,49.0,-9.0,5.8,11.386363636363637,0.14897727272727265
44,T048,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.867108,-87.654224,6,54026.666666666664,56.5,3.7777777777777777,0.0,63.5,49.0,-9.0,5.8,11.222222222222221,0.15333333333333327
45,T048,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.867108,-87.654224,6,54033.913043478264,56.5,3.880434782608696,0.0,63.5,49.0,-9.0,5.8,11.065217391304348,0.15749999999999992
46,T049,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.896282,-87.655232,6,54040.85106382979,56.5,3.978723404255319,0.0,63.5,49.0,-9.0,5.8,10.914893617021276,0.16148936170212758
47,T050,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.919343,-87.694259,6,54047.5,56.5,4.072916666666667,0.0,63.5,49.0,-9.0,5.8,10.770833333333334,0.16531249999999992
48,T050,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.919343,-87.694259,6,54053.87755102041,56.5,4.163265306122449,0.0,63.5,49.0,-9.0,5.8,10.63265306122449,0.1689795918367346
49,T054,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.921965,-87.632085,6,54060.0,56.5,4.25,0.0,63.5,49.0,-9.0,5.8,10.5,0.17249999999999993
50,T086,CULEX RESTUANS,4,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.688324,-87.676709,6,54065.882352941175,56.5,4.333333333333333,0.0,63.5,49.0,-9.0,5.8,10.372549019607844,0.1758823529411764
51,T089,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.723195000000004,-87.64997,6,54071.53846153846,56.5,4.413461538461538,0.0,63.5,49.0,-9.0,5.8,10.25,0.17913461538461534
52,T090,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.868077,-87.666901,6,54076.981132075474,56.5,4.490566037735849,0.0,63.5,49.0,-9.0,5.8,10.132075471698114,0.1822641509433962
53,T090,CULEX RESTUANS,7,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.868077,-87.666901,6,54082.22222222222,56.5,4.564814814814815,0.0,63.5,49.0,-9.0,5.7,10.018518518518519,0.18527777777777776
54,T092,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.869215999999994,-87.627561,6,54087.27272727273,56.5,4.636363636363637,0.0,63.5,49.0,-9.0,5.7,9.909090909090908,0.18818181818181817
55,T094,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.720848,-87.666014,6,54092.142857142855,56.5,4.705357142857143,0.0,63.5,49.0,-9.0,5.7,9.803571428571429,0.19098214285714285
56,T096,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.731922,-87.677512,6,54096.84210526316,56.5,4.771929824561403,0.0,63.5,49.0,-9.0,5.7,9.701754385964913,0.1936842105263158
57,T096,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.731922,-87.677512,6,54101.379310344826,56.5,4.836206896551724,0.0,63.5,49.0,-9.0,5.7,9.60344827586207,0.19629310344827589
58,T096,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.731922,-87.677512,6,54105.76271186441,56.5,4.898305084745763,0.0,63.5,49.0,-9.0,5.7,9.508474576271187,0.19881355932203393
59,T135,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.662014,-87.72460799999998,6,54110.0,56.5,4.958333333333333,0.0,63.5,49.0,-9.0,5.7,9.416666666666666,0.20125000000000004
60,T135,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.662014,-87.72460799999998,6,54114.098360655735,56.5,5.016393442622951,0.0,63.5,49.0,-9.0,5.7,9.327868852459016,0.20360655737704925
61,T135,CULEX RESTUANS,4,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.662014,-87.72460799999998,6,54118.06451612903,56.5,5.07258064516129,0.0,63.5,49.0,-9.0,5.7,9.241935483870968,0.20588709677419362
62,T141,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.961743,-87.76007,6,54121.90476190476,56.5,5.126984126984127,0.0,63.5,49.0,-9.0,5.7,9.158730158730158,0.20809523809523817
63,T141,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.961743,-87.76007,6,54125.625,56.5,5.1796875,0.0,63.5,49.0,-9.0,5.7,9.078125,0.21023437500000008
64,T142,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.953067,-87.776792,6,54129.230769230766,56.5,5.230769230769231,0.0,63.5,49.0,-9.0,5.7,9.0,0.2123076923076924
65,T142,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.953067,-87.776792,6,54132.72727272727,56.5,5.28030303030303,0.0,63.5,49.0,-9.0,5.7,8.924242424242424,0.2143181818181819
66,T143,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.999128999999996,-87.795585,6,54136.119402985074,56.5,5.3283582089552235,0.0,63.5,49.0,-9.0,5.7,8.850746268656716,0.216268656716418
67,T143,CULEX RESTUANS,9,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.999128999999996,-87.795585,6,54139.41176470588,56.5,5.375,0.0,63.5,49.0,-9.0,5.7,8.779411764705882,0.21816176470588247
68,T145,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.878114000000004,-87.629798,6,54142.608695652176,56.5,5.420289855072464,0.0,63.5,49.0,-9.0,5.7,8.710144927536232,0.2200000000000001
69,T146,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.958271,-87.702575,6,54145.71428571428,56.5,5.464285714285714,0.0,63.5,49.0,-9.0,5.7,8.642857142857142,0.22178571428571442
70,T146,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.958271,-87.702575,6,54148.7323943662,56.5,5.507042253521127,0.0,63.5,49.0,-9.0,5.7,8.577464788732394,0.22352112676056352
71,T147,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.932094,-87.700117,6,54151.666666666664,56.5,5.548611111111111,0.0,63.5,49.0,-9.0,5.7,8.51388888888889,0.22520833333333348
72,T149,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.994469,-87.667736,6,54154.520547945205,56.5,5.589041095890411,0.0,63.5,49.0,-9.0,5.7,8.452054794520548,0.2268493150684933
73,T150,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,42.006858,-87.675919,6,54157.2972972973,56.5,5.628378378378378,0.0,63.5,49.0,-9.0,5.7,8.391891891891891,0.22844594594594606
74,T151,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.916265,-87.800515,6,54160.0,56.5,5.666666666666667,0.0,63.5,49.0,-9.0,5.7,8.333333333333334,0.2300000000000001
75,T151,CULEX RESTUANS,10,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.916265,-87.800515,6,54162.63157894737,56.5,5.703947368421052,0.0,63.5,49.0,-9.0,5.7,8.276315789473685,0.23151315789473692
76,T152,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.846075,-87.716277,6,54165.194805194806,56.5,5.740259740259741,0.0,63.5,49.0,-9.0,5.7,8.220779220779221,0.23298701298701305
77,T153,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.907645,-87.760886,6,54167.692307692305,56.5,5.7756410256410255,0.0,63.5,49.0,-9.0,5.7,8.166666666666666,0.23442307692307698
78,T154,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.918704999999996,-87.752329,6,54170.126582278484,56.5,5.810126582278481,0.0,63.5,49.0,-9.0,5.7,8.113924050632912,0.2358227848101266
79,T158,CULEX PIPIENS/RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.682587,-87.707973,6,54172.5,56.5,5.84375,0.0,63.5,49.0,-9.0,5.7,8.0625,0.23718750000000002
80,T158,CULEX RESTUANS,8,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.682587,-87.707973,6,54174.81481481482,56.5,5.8765432098765435,0.0,63.5,49.0,-9.0,5.7,8.012345679012345,0.23851851851851852
81,T159,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.732984,-87.649642,6,54177.07317073171,56.5,5.908536585365853,0.0,63.5,49.0,-9.0,5.7,7.963414634146342,0.2398170731707317
82,T162,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.725516999999996,-87.61425799999998,6,54179.27710843374,56.5,5.9397590361445785,0.0,63.5,49.0,-9.0,5.7,7.9156626506024095,0.24108433734939758
83,T218,CULEX PIPIENS/RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.948167,-87.730698,6,54181.42857142857,56.5,5.970238095238095,0.0,63.5,49.0,-9.0,5.7,7.869047619047619,0.24232142857142852
84,T218,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.948167,-87.730698,6,54183.529411764706,56.5,6.0,0.0,63.5,49.0,-9.0,5.7,7.823529411764706,0.24352941176470583
85,T220,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,8.5,-9,53.45788043478261,0.0,RA BR,0.345,29.13000000000001,41.963976,-87.69181,6,54185.58139534884,56.5,6.02906976744186,0.0,63.5,49.0,-9.0,5.7,7.77906976744186,0.24470930232558133
86,T001,CULEX PIPIENS/RESTUANS,1,0,54780,91.5,71.5,81.5,6.6999999999999975,21.5,7.6,1931,0.0,10,53.45788043478261,16.5,TSRA BR HZ VCTS,0.08,29.42,41.953705,-87.733974,6,54192.41379310345,56.5,5.959770114942529,0.0,63.5,49.0,-9.0,5.7,7.936781609195402,0.2428160919540229
87,T002,CULEX PIPIENS/RESTUANS,1,0,54780,91.5,71.5,81.5,6.6999999999999975,21.5,7.6,1931,0.0,10,53.45788043478261,16.5,TSRA BR HZ VCTS,0.08,29.42,41.95469,-87.800991,6,54199.09090909091,56.5,5.892045454545454,0.0,63.5,49.0,-9.0,5.7,8.090909090909092,0.24096590909090898
