,Date,Day_length,Tmax,Tmin,Tavg,ResultSpeed,ResultDir,AvgSpeed,Sunset,Sunrise,Heat,Depart,DewPoint,WetBulb,Cool,CodeSum,PrecipTotal,StnPressure
65,2007-07-05,54480,88.5,70.5,79.5,5.35,32.0,7.5,1930,422,0.0,8,53.45788043478261,67.0,14.5,BR HZ FU,0.0,29.265
66,2007-07-06,54420,85.0,67.0,76.0,3.25,6.0,5.5,1930,423,0.0,4,53.45788043478261,64.5,11.0, ,0.0,29.35
67,2007-07-07,54420,89.0,66.0,77.5,7.9,22.5,8.35,1930,423,0.0,5,53.45788043478261,68.5,12.5, ,0.0,29.21
68,2007-07-08,54300,93.5,75.0,84.5,12.75,23.5,12.899999999999999,1929,424,0.0,12,53.45788043478261,72.0,19.5, ,0.0,29.085
69,2007-07-09,54240,93.5,71.0,82.5,4.85,23.5,8.8,1929,425,0.0,9,53.45788043478261,70.5,17.5,TSRA RA VCTS,0.27,29.134999999999998
70,2007-07-10,54240,89.0,69.5,79.5,8.399999999999999,23.0,10.35,1929,425,0.0,6,53.45788043478261,70.5,14.5,HZ VCTS,0.255,29.095
71,2007-07-11,54120,77.0,62.5,70.0,8.95,30.0,11.05,1928,426,0.0,-3,53.45788043478261,59.0,5.0, ,0.0,29.255000000000003
72,2007-07-12,54060,80.0,60.5,70.5,9.7,28.5,11.25,1928,427,0.0,-2,53.45788043478261,59.5,5.5, ,0.0,29.25
73,2007-07-13,53940,76.0,58.5,67.5,1.7,4.0,5.55,1927,428,0.0,-5,53.45788043478261,58.5,2.5, ,0.0,29.295
74,2007-07-14,53940,84.5,61.5,73.5,8.350000000000001,25.5,13.55,1927,428,0.0,0,53.45788043478261,62.0,8.5, ,0.0,29.11
75,2007-07-15,53820,81.0,62.0,71.5,1.65,19.0,5.7,1926,429,0.0,-3,53.45788043478261,61.0,6.5, ,0.0,29.22
76,2007-07-16,53700,82.0,65.5,74.0,5.0,23.5,5.9,1925,430,0.0,0,53.45788043478261,65.0,9.0,RA BR,0.23,29.28
77,2007-07-17,53640,83.0,68.5,76.0,5.75,23.0,6.95,1925,431,0.0,2,53.45788043478261,69.0,11.0,RA BR VCTS,0.11,29.21
78,2007-07-18,53520,85.0,69.0,77.0,9.7,24.0,10.35,1924,432,0.0,3,53.45788043478261,71.0,12.0,TSRA RA BR VCTS,1.235,29.145
79,2007-07-19,53400,82.5,63.0,73.0,7.35,18.5,13.15,1923,433,0.0,-1,53.45788043478261,66.0,8.0,DZ BR,0.085,29.235
80,2007-07-20,53400,74.5,60.0,67.5,9.95,3.5,10.3,1923,433,0.0,-7,53.45788043478261,59.0,2.5, ,0.0,29.465
81,2007-07-21,53280,74.5,58.0,66.5,6.15,3.5,7.4,1922,434,0.0,-8,53.45788043478261,58.5,1.5, ,0.0,29.54
82,2007-07-22,53160,81.0,59.5,70.5,1.7999999999999998,17.0,3.4,1921,435,0.0,-4,53.45788043478261,61.0,5.5, ,0.0,29.515
83,2007-07-23,53040,82.5,61.5,72.5,3.05,10.5,3.95,1920,436,0.0,-2,53.45788043478261,63.0,7.5, ,0.0,29.395000000000003
84,2007-07-24,52920,82.0,65.0,74.0,2.1,20.5,5.050000000000001,1919,437,0.0,0,53.45788043478261,64.0,9.0, ,0.0,29.35
85,2007-07-25,52800,84.0,70.5,77.5,6.1,24.0,6.8,1918,438,0.0,4,53.45788043478261,66.5,12.5, ,0.0,29.32
86,2007-07-26,52740,83.5,65.0,74.5,7.2,22.0,9.65,1918,439,0.0,1,53.45788043478261,68.0,9.5,TS TSRA RA BR HZ,0.54,29.22
87,2007-07-27,52620,83.0,70.0,77.0,2.1,19.5,8.0,1917,440,0.0,3,53.45788043478261,70.0,12.0,RA BR HZ,0.10500000000000001,29.134999999999998
88,2007-07-28,52500,80.0,68.0,74.0,10.3,3.0,10.45,1916,441,0.0,-1,53.45788043478261,68.0,9.0,BR HZ,0.0,29.255000000000003
89,2007-07-29,52380,85.0,65.0,75.0,5.55,5.0,6.300000000000001,1915,442,0.0,0,53.45788043478261,64.0,10.0, ,0.0,29.310000000000002
90,2007-07-30,52260,87.5,63.5,76.0,3.45,6.0,4.449999999999999,1914,443,0.0,2,53.45788043478261,64.5,11.0, ,0.0,29.36
91,2007-07-31,52140,90.0,68.5,79.5,3.65,5.5,4.95,1913,444,0.0,6,53.45788043478261,68.0,14.5, ,0.0,29.36
92,2007-08-01,51960,91.5,69.0,80.5,2.8,11.0,3.9,1911,445,0.0,8,53.45788043478261,69.5,15.5,HZ,0.0,29.314999999999998
93,2007-08-02,51840,91.0,71.5,81.5,6.0,24.5,6.550000000000001,1910,446,0.0,8,53.45788043478261,71.5,16.5,HZ,0.0,29.285
94,2007-08-03,51720,89.0,71.0,80.5,3.0,4.5,5.75,1909,447,0.0,7,53.45788043478261,66.5,15.5, ,0.0,29.335
95,2007-08-04,51600,81.0,66.0,74.0,5.800000000000001,8.5,6.35,1908,448,0.0,0,53.45788043478261,64.5,9.0,RA,0.025,29.335
96,2007-08-05,51480,88.0,67.5,78.0,6.2,21.5,9.899999999999999,1907,449,0.0,5,53.45788043478261,72.5,13.0,TSRA RA BR HZ,1.2,29.115
97,2007-08-06,51360,86.5,74.5,80.5,2.1,10.0,4.75,1906,450,0.0,8,53.45788043478261,74.0,15.5,TSRA RA BR HZ,0.155,29.15
98,2007-08-07,51180,91.5,72.5,82.5,6.25,24.5,8.9,1904,451,0.0,9,53.45788043478261,76.0,17.5,RA BR,0.685,29.085
99,2007-08-08,51060,87.0,73.5,80.5,2.25,3.5,6.65,1903,452,0.0,7,53.45788043478261,73.5,15.5,TSRA RA BR,0.075,29.155
100,2007-08-09,50940,84.5,72.5,78.5,2.8,28.0,6.15,1902,453,0.0,5,53.45788043478261,73.0,13.5,TSRA RA,0.255,29.16
101,2007-08-10,50760,86.0,71.5,79.0,3.75,4.0,5.65,1900,454,0.0,5,53.45788043478261,72.0,14.0,BR,0.0,29.29
102,2007-08-11,50640,88.5,67.5,78.0,3.1500000000000004,19.5,3.9,1859,455,0.0,5,53.45788043478261,70.0,13.0,BR HZ,0.0,29.345
103,2007-08-12,50520,87.5,67.5,78.0,1.7999999999999998,6.0,6.0,1858,456,0.0,5,53.45788043478261,70.5,13.0,TSRA,0.26,29.369999999999997
104,2007-08-13,50340,80.5,67.0,74.0,6.550000000000001,7.0,7.300000000000001,1856,457,0.0,0,53.45788043478261,63.5,9.0,BR,0.0,29.415
105,2007-08-14,50220,84.0,65.0,75.0,6.15,24.0,8.5,1855,458,0.0,3,53.45788043478261,69.5,10.0,TS TSRA RA BR,0.43,29.259999999999998
106,2007-08-15,50100,80.5,71.5,76.5,4.15,6.5,6.449999999999999,1854,459,0.0,4,53.45788043478261,70.5,11.5,TSRA RA BR,0.53,29.200000000000003
107,2007-08-16,49920,77.0,66.0,71.5,3.55,1.0,5.7,1852,500,0.0,-1,53.45788043478261,67.5,6.5,BR,0.0,29.305
108,2007-08-17,49800,79.5,62.5,71.5,6.0,31.5,7.1,1851,501,0.0,-2,53.45788043478261,61.5,6.5, ,0.0,29.435000000000002
109,2007-08-18,49620,68.5,59.5,64.5,6.25,12.5,7.55,1849,502,0.5,-8,53.45788043478261,58.0,0.0,RA,0.255,29.46
110,2007-08-19,49500,68.5,62.0,65.5,5.75,10.0,7.45,1848,503,0.0,-6,53.45788043478261,64.0,0.5,TS RA BR,1.33,29.27
111,2007-08-20,49320,77.0,68.0,72.5,1.45,16.0,5.800000000000001,1846,504,0.0,2,53.45788043478261,69.5,7.5,TSRA RA BR,0.6950000000000001,29.18
112,2007-08-21,49200,86.0,69.0,77.5,3.65,17.5,6.0,1845,505,0.0,7,53.45788043478261,72.0,12.5,BR HZ,0.005,29.235
113,2007-08-22,49020,90.0,69.5,80.0,5.199999999999999,21.0,8.95,1843,506,0.0,9,53.45788043478261,73.0,15.0,TS TSRA RA,0.625,29.259999999999998
114,2007-08-23,48840,88.0,69.5,79.0,8.15,21.0,10.399999999999999,1842,508,0.0,7,53.45788043478261,71.0,14.0,TS TSRA RA BR VCTS,2.1550000000000002,29.18
115,2007-08-24,48660,80.5,69.0,75.0,5.65,25.0,7.199999999999999,1840,509,0.0,4,53.45788043478261,69.0,10.0,TSRA RA,0.22,29.134999999999998
116,2007-08-25,48540,77.5,64.5,71.5,2.7,19.5,6.0,1839,510,0.0,2,53.45788043478261,66.0,6.5,RA,0.29500000000000004,29.259999999999998
117,2007-08-26,48360,78.5,60.5,70.0,3.6500000000000004,11.0,5.0,1837,511,0.0,0,53.45788043478261,61.5,5.0, ,0.0,29.41
118,2007-08-27,48180,79.0,61.5,70.5,6.45,16.5,7.35,1835,512,0.0,0,53.45788043478261,64.0,5.5, ,0.0,29.384999999999998
119,2007-08-28,48060,90.5,68.0,79.5,8.4,20.5,8.9,1834,513,0.0,9,53.45788043478261,70.0,14.5, ,0.0,29.310000000000002
120,2007-08-29,47880,85.5,68.5,77.5,5.449999999999999,3.0,8.5,1832,514,0.0,7,53.45788043478261,69.0,12.5, ,0.0,29.365000000000002
121,2007-08-30,47760,75.0,58.5,67.0,9.95,2.5,10.4,1831,515,0.0,-4,53.45788043478261,60.5,2.0, ,0.0,29.490000000000002
122,2007-08-31,47580,76.5,57.0,67.0,3.45,5.0,4.9,1829,516,0.0,-2,53.45788043478261,59.5,2.0, ,0.0,29.494999999999997
123,2007-09-01,47400,80.0,58.5,69.5,4.300000000000001,11.0,4.7,1827,517,0.0,1,53.45788043478261,61.5,4.5, ,0.0,29.515
124,2007-09-02,47280,84.5,61.5,73.0,4.5,21.0,5.5,1826,518,0.0,5,53.45788043478261,63.0,8.0, ,0.0,29.439999999999998
125,2007-09-03,47100,88.0,65.0,76.5,2.5,26.0,6.0,1824,519,0.0,9,53.45788043478261,67.0,11.5, ,0.0,29.39
126,2007-09-04,46920,89.5,65.0,77.5,2.5,23.0,4.65,1822,520,0.0,8,53.45788043478261,66.5,12.5, ,0.0,29.310000000000002
127,2007-09-05,46800,90.5,69.0,80.0,6.4,19.0,6.6,1821,521,0.0,11,53.45788043478261,69.0,15.0,RA,0.0,29.275
128,2007-09-06,46620,83.0,73.5,78.5,12.350000000000001,20.0,12.55,1819,522,0.0,11,53.45788043478261,70.0,13.5,RA HZ,0.13,29.240000000000002
129,2007-09-07,46440,84.0,70.5,77.5,9.95,23.0,13.45,1817,523,0.0,10,53.45788043478261,70.0,12.5,TSRA RA BR HZ,0.43000000000000005,29.18
130,2007-09-08,46260,78.0,66.0,72.0,7.2,5.0,8.3,1815,524,0.0,5,53.45788043478261,63.5,7.0, ,0.0,29.32
131,2007-09-09,46140,79.5,63.0,71.5,9.649999999999999,3.0,10.4,1814,525,0.0,6,53.45788043478261,63.5,6.5, ,0.0,29.384999999999998
132,2007-09-10,45960,73.5,54.5,64.0,7.300000000000001,2.5,9.35,1812,526,1.0,-2,53.45788043478261,61.0,0.0,RA BR,0.305,29.32
133,2007-09-11,45780,71.0,50.5,61.0,11.899999999999999,29.0,13.6,1810,527,4.0,-4,53.45788043478261,52.0,0.0, ,0.0,29.23
134,2007-09-12,45660,66.5,46.0,56.5,1.85,4.0,5.8,1809,528,8.5,-8,53.45788043478261,49.5,0.0, ,0.0,29.43
135,2007-09-13,45480,78.5,51.5,65.0,7.7,19.5,8.1,1807,529,0.5,-1,53.45788043478261,54.0,0.5, ,0.0,29.265
136,2007-09-14,45300,66.5,46.0,56.5,11.899999999999999,32.0,13.2,1805,530,8.5,-8,53.45788043478261,48.5,0.0, ,0.0,29.384999999999998
137,2007-09-15,45120,61.5,40.5,51.0,1.25,34.0,6.25,1803,531,14.0,-14,53.45788043478261,44.0,0.0, ,0.0,29.59
138,2007-09-16,44880,71.5,46.5,59.5,7.25,18.0,7.8,1760,532,5.5,-6,53.45788043478261,49.5,0.0, ,0.0,29.490000000000002
139,2007-09-17,44700,80.0,53.5,67.0,11.149999999999999,17.0,11.55,1758,533,0.0,2,53.45788043478261,57.0,2.0, ,0.0,29.425
140,2007-09-18,44460,88.5,64.5,77.0,12.7,19.0,12.95,1756,535,0.0,12,53.45788043478261,65.0,12.0, ,0.0,29.375
141,2007-09-19,44340,84.0,66.5,75.5,4.25,25.5,9.35,1755,536,0.0,12,53.45788043478261,65.0,10.5, ,0.0,29.439999999999998
142,2007-09-20,44160,77.0,61.5,69.5,5.449999999999999,7.5,6.35,1753,537,0.0,7,53.45788043478261,63.5,4.5, ,0.0,29.415
143,2007-09-21,43980,89.0,66.0,77.5,10.05,21.5,11.95,1751,538,0.0,14,53.45788043478261,66.0,12.5,HZ,0.0,29.205
144,2007-09-22,43800,73.0,54.5,64.0,3.45,2.0,7.25,1749,539,1.0,1,53.45788043478261,54.0,0.0, ,0.0,29.450000000000003
145,2007-09-23,43680,83.5,52.5,68.0,5.25,12.5,5.85,1748,540,0.0,6,53.45788043478261,58.5,3.0, ,0.0,29.46
146,2007-09-24,43500,90.5,69.5,80.0,10.7,19.0,11.2,1746,541,0.0,18,53.45788043478261,68.5,15.0, ,0.0,29.305
147,2007-09-25,43320,84.0,65.0,74.5,7.6,23.0,9.95,1744,542,0.0,13,53.45788043478261,69.0,9.5,TS RA,0.14,29.259999999999998
148,2007-09-26,43140,68.5,54.0,61.5,4.55,1.5,6.949999999999999,1742,543,3.5,1,53.45788043478261,55.5,0.0,RA,0.115,29.34
149,2007-09-27,43020,74.5,50.5,62.5,4.7,24.5,6.15,1741,544,2.5,2,53.45788043478261,55.0,0.0,BR,0.0,29.285
150,2007-09-28,42840,73.0,53.0,63.0,2.7,5.5,6.85,1739,545,2.0,4,53.45788043478261,53.5,0.0, ,0.0,29.494999999999997
151,2007-09-29,42660,81.0,51.0,66.0,8.95,17.0,9.3,1737,546,0.0,6,53.45788043478261,55.0,1.0, ,0.0,29.535
152,2007-09-30,42480,83.5,60.0,72.0,13.65,19.0,13.899999999999999,1735,547,0.0,12,53.45788043478261,59.0,7.0,TSRA BR,0.14,29.4
153,2007-10-01,42360,68.5,59.0,64.0,7.0,21.5,8.5,1734,548,1.0,6,53.45788043478261,61.0,0.0,RA DZ FG+ BCFG BR,0.22999999999999998,29.315
154,2007-10-02,42180,79.0,58.0,69.0,10.4,19.0,10.7,1732,549,0.0,10,53.45788043478261,63.0,4.0,RA FG+ MIFG BR,0.1,29.215
155,2007-10-03,42000,74.0,55.5,65.0,5.35,25.5,7.1,1730,550,0.0,8,53.45788043478261,56.0,0.0, ,0.0,29.310000000000002
156,2007-10-04,41820,82.5,53.5,68.5,4.25,17.0,5.25,1729,552,0.0,10,53.45788043478261,61.5,3.5,HZ,0.0,29.365000000000002
157,2007-10-05,41640,84.5,65.0,75.0,6.9,17.5,7.0,1727,553,0.0,16,53.45788043478261,68.5,10.0,HZ,0.03,29.39
158,2007-10-06,41460,87.5,70.0,79.0,6.65,20.5,7.050000000000001,1725,554,0.0,22,53.45788043478261,70.5,14.0, ,0.0,29.36
159,2007-10-07,41340,87.5,68.5,78.0,5.25,19.0,5.9,1724,555,0.0,21,53.45788043478261,70.0,13.0, ,0.0,29.345
160,2007-10-08,41160,87.5,61.0,74.5,7.5,24.0,10.0,1722,556,0.0,18,53.45788043478261,66.0,9.5, ,0.0,29.255000000000003
161,2007-10-09,40980,76.5,49.5,63.5,11.8,28.0,13.05,1720,557,1.5,8,53.45788043478261,53.0,0.0, ,0.0,29.240000000000002
162,2007-10-10,40860,53.5,47.0,50.5,14.75,31.0,15.05,1719,558,14.5,-4,53.45788043478261,44.0,0.0,RA DZ,0.0,29.235
163,2007-10-11,40680,55.0,47.0,51.0,13.25,36.0,14.2,1717,559,14.0,-4,53.45788043478261,45.0,0.0, ,0.0,29.310000000000002
164,2007-10-12,40500,56.5,43.0,50.0,3.0999999999999996,35.5,5.0,1715,600,15.0,-5,53.45788043478261,43.0,0.0, ,0.0,29.310000000000002
165,2007-10-13,40320,59.0,42.0,51.0,3.1500000000000004,20.5,4.1,1714,602,14.0,-3,53.45788043478261,47.0,0.0, ,0.0,29.345
166,2007-10-14,40140,62.0,54.0,58.0,5.65,11.5,6.3,1712,603,7.0,4,53.45788043478261,52.5,0.0,RA,0.08,29.369999999999997
167,2007-10-15,40020,75.5,53.0,64.5,5.35,15.0,6.25,1711,604,1.0,10,53.45788043478261,57.0,0.5,RA BR,0.05500000000000001,29.235
168,2007-10-16,39840,67.5,54.0,61.0,6.45,21.0,7.4,1709,605,4.0,8,53.45788043478261,57.5,0.0,RA DZ BR,0.215,29.195
169,2007-10-17,39660,73.0,48.5,61.0,8.95,14.0,9.45,1707,606,4.0,8,53.45788043478261,57.0,0.0,RA HZ,0.075,29.1
170,2007-10-18,39540,78.5,59.5,69.5,16.35,19.0,18.049999999999997,1706,607,0.0,18,53.45788043478261,61.5,4.5,RA BR,0.32,28.630000000000003
171,2007-10-19,39360,60.5,52.5,56.5,16.95,24.0,17.35,1704,608,8.5,5,53.45788043478261,52.0,0.0,RA BR,0.005,28.785
172,2007-10-20,39180,73.5,47.0,60.5,11.0,21.0,11.85,1703,610,4.5,10,53.45788043478261,52.0,0.0, ,0.0,29.060000000000002
173,2007-10-21,39000,79.5,60.5,70.0,17.35,20.0,17.5,1701,611,0.0,20,53.45788043478261,56.5,5.0, ,0.0,29.115
174,2007-10-22,38880,66.5,46.5,57.0,5.5,18.5,9.75,1660,612,8.0,7,53.45788043478261,50.5,0.0,RA DZ BR,0.155,29.29
